movieclipId,movieId
000000111_-QWL-FwX4t4,111
000000111_1ve57l3c19g,111
000000111_FGwRe_5L1WM,111
000000111_LvtFcK8BaY8,111
000000111_Rq4ucbgrV6U,111
000000111_UneHDzMhbbw,111
000000111_VKE_B4jMF5Q,111
000000111_X6frLQWOSlQ,111
000000151_9u_76dg61ns,151
000000151_CeYoUJYqAQc,151
000000151_Oum7mEtv05g,151
000000151_P_GbbXL9E78,151
000000151__dtNz4Te0Gw,151
000000151_a2gMY3TRx8s,151
000000151_aYbNb8eaTCY,151
000000151_o_yIykgKbeQ,151
000000151_wosztGGnWt4,151
000000151_xR1YEOrYOdw,151
000000180_05O77oX6bQE,180
000000180_1vJpAXf5wyk,180
000000180_C6k9TFjWiGs,180
000000180_CAeFPZ-yXYM,180
000000180_XdlIQCbOvrw,180
000000180_ZbKU3_H3FVw,180
000000180_dQRfWqSj3Gw,180
000000180_wqwUdp5-2D8,180
000000180_xA5QELbB-vU,180
000000223_2TTfvxYUBug,223
000000223_3a3zXJ7biqI,223
000000223_3gHqYddtmNU,223
000000223_7gFoHkkCaRE,223
000000223_C4MVQby0InQ,223
000000223_D9khHJTztKk,223
000000223_DDYj5ChFwbU,223
000000223_WTw51Ynkn7A,223
000000223_eD4l8wpbrRI,223
000000223_fEEj6d3GTOU,223
000000223_tp7ss_bTP4Y,223
000000316_3Ds0DRCNXN4,316
000000316_7ALP_3eWKZg,316
000000316_HCLQRZmD1EE,316
000000316_OeA9yeqG91A,316
000000316_RWIS7olVbGE,316
000000316_Z-hoEoga8no,316
000000316__JuHsTbZKqA,316
000000316__q36_9BaH4g,316
000000316_r4vQbzdjQW8,316
000000316_tmZiGfLVs8w,316
000000316_x-FLqiu9nTs,316
000000316_xTebNVZEvT4,316
000000370_3XeLFSaoyAk,370
000000370_63lE3AOBgeA,370
000000370_8r_dXbWf2Aw,370
000000370_MTs-HKiOQj8,370
000000370_YwM7NgPE5lw,370
000000370__ZJUuDLqjzU,370
000000370_akrTlYc40XE,370
000000370_dAMqMErPIIY,370
000000370_fsWhDcon8aQ,370
000000370_p-echNQGbug,370
000000424_5oAIVuFPUdQ,424
000000424_Jv_AlRfm998,424
000000424_KUnaFhIJ17Q,424
000000424_ghn35eUPiIc,424
